accordion_(musical_instrument),898
adhesive_tape,146
aerosol_can,59
air_conditioner,5069
aircraft,62576
airplane,60261
alarm_clock,296
alcohol,9
almond,62
alpaca,100
ambulance,26
amplifier,9
animal,213476
anklet,20
ant,61
antelope,249
antenna,8116
apple,13067
apricot,5
apron,6437
aquarium,54
arctic_(type_of_shoe),1
armadillo,3
armband,8
armchair,797
armor,237
artichoke,23
ashtray,881
asparagus,47
atomizer,6
auto_part,99935
avocado,66
award,957
awning,26866
axe,29
baby_buggy,1566
backpack,51699
bagel,20
baked_goods,31405
ball,39183
ballet_skirt,4
balloon,9525
bamboo,169
banana,8564
bandage,668
bandanna,920
banjo_(musical_instrument),161
banner,17801
barge_(boat),72
barrel,1587
barrette,1151
barrow,34
baseball,1395
baseball_base,188
baseball_bat,22562
baseball_cap,26733
baseball_glove,9674
basket,5997
basketball,338
bat_(animal),341
bath_mat,353
bath_towel,263
bathrobe,191
bathroom_accessory,4687
bathroom_cabinet,5
bathtub,9220
batter_(food),2
battery,40
bead,2585
beaker,96
bean_curd,8
beanie_(hat),4321
bear,6478
bed,22111
bee,375
beef_(food),37
beehive,143
beer,545
beer_bottle,2333
beer_can,185
beetle,356
bell,1316
bell_pepper,399
belt,28377
belt_buckle,4252
bench,35401
bib,372
bible,50
bicycle,70029
bicycle_helmet,5334
bicycle_wheel,13665
bidet,87
billboard,3960
binder,502
binoculars,147
bird,69837
birdcage,221
birdfeeder,126
birdhouse,333
birthday_cake,206
black_sheep,73
blackberry,64
blackboard,206
blanket,6907
blender_(kitchenware),655
blinder_(for_horses),44
blinker,31
blouse,695
blue_jay_(bird),25
blueberry,145
boat,70043
bobbin,157
bobby_pin,14
boiled_egg,19
bolt,6487
bonnet,37
book,84773
bookcase,5679
booklet,137
boot,29348
bottle,81201
bottle_cap,20381
bouquet,2345
bow_(decorative_ribbons),6028
bow_and_arrow,306
bow_tie,14788
bowl,28271
bowling_ball,131
bowling_equipment,337
box,40584
boxing_glove,32
boy,21538
bracelet,45911
brassiere,5082
bread,1350
bridal_gown,12162
briefcase,428
broach,590
broccoli,2856
bronze_sculpture,111
broom,135
brown_bear,102
brownie,21
brussels_sprouts,40
bucket,5879
building,153749
bull,617
bullet_train,91
bulletin_board,178
bulletproof_vest,94
bullhorn,13
bun,180
bunk_bed,3
buoy,2015
bus,17217
business_card,1
bust,94
butter,82
butterfly,2024
button,61467
cabana,1
cabbage,40
cabinet,9517
cake,18423
cake_stand,82
calculator,350
calendar,973
calf,35
camcorder,85
camel,465
camera,44082
camera_lens,2717
camper_(vehicle),377
can,2170
canary_(bird),76
candle,21419
candle_holder,1675
candy,465
candy_cane,31
canister,302
cannon,145
canoe,1780
cantaloupe_(melon),4
cap_(hat),31343
cape,10
cappuccino,66
car,165860
card,275
carnation,44
carnivore,80307
carrot,4277
cart,787
carton,70
cassette,7
cassette_deck,260
cast,212
castle,1427
cat,39597
cat_furniture,7
caterpillar,101
cattle,12491
cauliflower,70
cd_player,6
ceiling_fan,136
celery,147
cell_phone,91278
cello_(musical_instrument),868
centipede,5
chainsaw,71
chair,154042
chaise_longue,3
chandelier,5177
cheese,252
cheetah,57
cherry,230
chicken_(animal),1758
chickpea,13
chili_(vegetable),11
chinaware,30
chocolate_bar,112
chocolate_cake,1
choker,8702
chopsticks,351
christmas_tree,5901
cigarette,1172
cigarette_case,12
cincture,117
cistern,911
clarinet_(musical_instrument),183
clarinet_(musical_instrument),183
clasp,75
cleansing_agent,1135
clip,1061
clipboard,5
cloak,10
clock,46591
clock_tower,5054
closet,426
clothes_hamper,4
clothespin,539
clothing,1270877
coaster,416
coat,51307
coat_hanger,253
cock,60
cocktail,629
cocktail_shaker,6
coconut,19
coffee,256
coffee_cup,1335
coffee_maker,745
coffee_table,1173
coin,696
coleslaw,1
combination_lock,7
comic_book,20
computer_keyboard,22406
computer_monitor,10135
