accordion_(musical_instrument);musical_instrument;a portable box-shaped free-reed instrument- the reeds are made to vibrate by air from the bellows controlled by the player
adhesive_tape;office_supplies;tape coated with adhesive
aerosol_can;dispenser, container;a dispenser that holds a substance under pressure
air_conditioner;;a machine that keeps air cool and dry
aircraft;vehicle;a vehicle that can fly
airplane;aircraft, vehicle;an aircraft that has a fixed wing and is powered by propellers or jets
alarm_clock;clock;a clock that wakes a sleeper at some preset time
alcohol;drink;a liquor or brew containing alcohol as the active agent
alligator;reptile, animal;amphibious reptiles related to crocodiles but with shorter broader snouts
almond;fruit, food;oval-shaped edible seed of the almond tree
alpaca;mammal, animal;domesticated llama with long silky fleece- believed to be a domesticated variety of the guanaco
ambulance;van,car, motor_vehicle, land_vehicle,vehicle;a vehicle that takes people to and from hospitals
amplifier;;electronic equipment that increases strength of signals
animal;;a living organism characterized by voluntary movement
anklet;bracelet, jewelry, fashion_accessory;an ornament worn around the ankle
ant;insect, invertebrate, animal;social insect living in organized colonies- characteristically the males and fertile queen have wings during breeding season- wingless sterile females are the workers
antelope;mammal, animal;graceful old world ruminant with long legs and horns directed upward and backward- includes gazelles- springboks- impalas- addax- gerenuks- blackbucks- dik-diks (term referring to many even-toed ungulate species)
antenna;;an electrical device that sends or receives radio or television signals
apple;fruit, food;fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
applesauce;food;puree of stewed apples usually sweetened and spiced
apricot;fruit, food;downy yellow to rosy-colored fruit resembling a small peach
apron;clothing;a garment of cloth that is tied about the waist and worn to protect clothing
aquarium;container;a tank/pool/bowl filled with water for keeping live fish and underwater animals
arctic_(type_of_shoe);footwear;a waterproof overshoe that protects shoes from water or snow
armadillo;mammal, animal;burrowing chiefly nocturnal mammal with body covered with strong horny plates
armband;;a band worn around the upper arm
armchair;chair, furniture;chair with a support on each side for arms
armoire;wardrobe, furniture;a large wardrobe or cabinet
armor;;protective covering made of metal and used in combat
army_tank;vehicle;an enclosed armored military vehicle- has a cannon and moves on caterpillar treads
artichoke;vegetable, food, flower;a thistlelike flower head with edible fleshy leaves and heart
ashtray;container;a receptacle for the ash from smokers' cigars or cigarettes
asparagus;vegetable, food;edible young shoots of the asparagus plant
atomizer;dispenser, container;a dispenser that turns a liquid (such as perfume) into a fine mist
auto_part;;a component of an automobile
avocado;fruit, food;a pear-shaped fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed
award;;a tangible symbol signifying approval or distinction
awning;;a canopy made of canvas to shelter people or things from rain or sun
axe;tool, weapon;an edge tool with a heavy bladed head mounted across a handle
baboon;monkey, mammal, animal;large terrestrial monkeys having doglike muzzles
baby_buggy;land_vehicle, vehicle;a small vehicle with four wheels in which a baby or child is pushed around
backpack;luggage_and_bags;a bag carried by a strap on your back or shoulder
bagel;bun, bread, baked_goods, food;glazed yeast-raised doughnut-shaped roll with hard crust
bagpipe_(musical_instrument);musical_instrument;a tubular wind instrument- the player blows air into a bag and squeezes it out
baguet;bread, baked_goods, food;narrow french stick loaf
bait;;something used to lure fish or other animals into danger so they can be trapped or killed
baked_goods;food;foods (like breads and cakes and pastries) that are cooked in an oven
balance_beam;sports_equipment;a gymnastic apparatus used by women gymnasts
ball;sports_equipment;a spherical object used as a plaything
ballet_skirt;skirt, clothing;very short skirt worn by ballerinas
balloon;;inflatable flexible bag filled with gas
bamboo;plant;woody tropical grass having hollow woody stems
banana;fruit, food;elongated crescent-shaped yellow fruit with soft sweet flesh
band_aid;bandage, medical_equipment;trade name for an adhesive bandage to cover small cuts or blisters
bandage;;a piece of soft material that covers and protects an injured part of the body
bandanna;handkerchief;large and brightly colored handkerchief- often used as a neckerchief
banjo_(musical_instrument);musical_instrument;a stringed instrument of the guitar family with a long neck and circular body
banner;flag;long strip of cloth or paper used for decoration or advertising
barbell;sports_equipment;a bar to which heavy discs are attached at each end- used in weightlifting
barge_(boat);boat, watercraft, vehicle;a flatbottom boat for carrying heavy loads (especially on canals)
barrel; tool;a cylindrical container that holds liquids
barrette;pin_(non_jewelry), fashion_accessory;a pin for holding women's hair in place
barrow;handcart,  land_vehicle, vehicle;a cart for carrying small loads- has handles and one or more wheels
baseball;ball, sports_equipment;a ball used in playing baseball
baseball_base;sports_equipment;a place that the runner must touch before scoring
baseball_bat;sports_equipment;an implement used in baseball by the batter
baseball_cap;cap_(hat), hat, fashion_accessory;a cap with a bill
baseball_glove;sports_equipment, glove, fashion_accessory;the handwear used by fielders in playing baseball
basket;container;a container that is usually woven and has handles
basketball;ball, sports_equipment;an inflated ball used in playing basketball
basketball_backboard;;a raised vertical board with basket attached- used to play basketball
bass_horn_(musical_instrument);musical_instrument;the lowest brass wind instrument
bat_(animal);mammal, animal;nocturnal mouselike mammal with forelimbs modified to form membranous wings
bath_mat;;a heavy towel or mat to stand on while drying yourself after a bath
bath_towel;towel;a large towel- to dry yourself after a bath
bathrobe;robe, clothing;a loose-fitting robe of towelling- worn after a bath or swim
bathroom_accessory;;bathroom accessories
bathroom_cabinet;cabinet, furniture;type of furniture
bathtub;plumbing_fixture;a large open container that you fill with water and use to wash the body
batter_(food);food;a liquid or semiliquid mixture, as of flour, eggs, and milk, used in cooking
battery;;a portable device that produces electricity
beachball;ball, sports_equipment;large and light ball- for play at the seaside
bead;jewelry, fashion_accessory;a small ball with a hole through the middle used for ornamentation, jewellery, etc.
beaker; tool;a flatbottomed jar made of glass or plastic- used for chemistry
bean_curd;food;cheeselike food made of curdled soybean milk
beanbag;furniture;a bag filled with dried beans or similar items- used in games or to sit on
beanie_(hat);cap_(hat), fashion_accessory;a small skullcap- formerly worn by schoolboys and college freshmen
bear;carnivore, mammal, animal;large carnivorous or omnivorous mammals with shaggy coats and claws
bed;furniture;a piece of furniture that provides a place to sleep
